Surface Oriented Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",87.5,0.0,12.5,0.0,0.0,0.0
"-5,000",88.1,0.0,11.9,0.0,0.0,0.0
"-3,500",89.2,0.0,10.8,0.0,0.0,0.0
"-2,000",91.4,0.0,8.6,0.0,0.0,0.0
"-6,500",94.4,0.1,5.6,0.0,0.0,0.0
"-5,000",94.7,0.0,5.3,0.0,0.0,0.0
"-3,500",95.5,0.1,4.5,0.0,0.0,0.0
"-2,000",96.8,0.0,3.2,0.0,0.0,0.0
"-6,500",95.9,0.0,4.2,0.1,0.0,0.0
"-5,000",97.0,0.1,3.0,0.0,0.0,0.0
"-3,500",97.1,0.1,2.9,0.0,0.0,0.0
"-2,000",97.7,0.1,2.3,0.0,0.0,0.0
