Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.6,17.1,39.5,42.9,0.5
"-5,000",0.0,0.7,26.8,49.4,23.6,0.2
"-3,500",0.0,1.3,40.4,54.0,5.6,0.1
"-2,000",0.1,1.2,56.0,43.8,0.1,0.0
"-6,500",1.4,1.6,12.7,23.0,60.5,2.4
"-5,000",1.5,2.4,20.9,25.7,49.5,2.4
"-3,500",3.0,4.5,32.3,31.9,30.7,2.0
"-2,000",4.6,4.9,47.5,36.2,10.8,0.9
"-6,500",4.4,2.9,9.4,20.2,61.2,4.8
"-5,000",8.1,4.2,13.6,22.1,51.0,5.2
"-3,500",11.5,7.9,23.3,27.7,32.2,5.3
"-2,000",15.3,8.9,35.4,33.7,13.3,2.3
