Surface Oriented Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",5.9,19.3,94.9,0.8,0.0,0.0
"-5,000",8.9,17.3,91.9,0.8,0.0,0.0
"-3,500",10.6,19.1,89.5,0.1,0.0,0.0
"-2,000",13.0,17.3,87.0,0.0,0.0,0.0
"-6,500",44.8,25.2,57.5,1.1,1.1,0.0
"-5,000",49.0,22.3,52.4,0.9,0.4,0.1
"-3,500",56.9,23.2,43.8,0.6,0.0,0.1
"-2,000",60.3,21.2,40.0,0.3,0.0,0.0
"-6,500",73.1,28.3,29.8,1.8,1.1,0.0
"-5,000",77.0,24.7,24.4,0.9,0.4,0.1
"-3,500",80.0,25.6,20.8,0.7,0.0,0.1
"-2,000",82.1,22.8,18.3,0.4,0.0,0.0
