"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Total,Total (%)
LFS Larva Abundance Estimate,"2,568,108","14,411,532","304,865","3,100,001","1,410,811",0,0,"21,795,317",0
PTM Entrained (%),0.0,0.0,0.4,1.1,0.1,0.0,0.0,,
PTM Entrained (%),0.0,0.0,0.2,0.5,0.0,0.0,0.0,,
PTM Entrained (%),0.0,0.0,0.0,0.3,0.0,0.0,0.0,,
PTM Entrained (%),0.0,0.0,0.0,<0.1,0.0,0.0,0.0,,
Smelt Larva Entrained (#),0,0,"1,219","35,031","1,411",0,0,"37,662",0.2%
Smelt Larva Entrained (#),0,0,610,"15,162",0,0,0,"15,771",<0.1%
Smelt Larva Entrained (#),0,0,0,"10,223",0,0,0,"10,223",<0.1%
Smelt Larva Entrained (#),0,0,0,867,0,0,0,867,<0.1%
