Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.1,48.8,100.4,0.5,0.0,0.0
"-5,000",0.1,48.8,100.4,0.5,0.0,0.0
"-3,500",0.1,51.0,100.3,0.4,0.0,0.0
"-2,000",0.3,52.7,99.7,0.0,0.0,0.0
"-6,500",13.8,59.5,89.5,2.4,0.6,0.3
"-5,000",13.8,59.5,89.5,2.4,0.6,0.3
"-3,500",18.8,60.6,83.7,1.8,0.6,0.1
"-2,000",21.8,62.4,78.6,0.3,0.0,0.0
"-6,500",25.6,65.0,81.1,3.1,2.5,1.1
"-5,000",25.6,65.0,81.1,3.1,2.5,1.1
"-3,500",32.4,66.0,71.6,2.1,1.8,0.1
"-2,000",35.4,68.9,65.9,1.0,0.0,0.3
