Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",1.0,49.0,99.3,0.4,0.0,0.0
"-5,000",1.0,49.0,99.3,0.4,0.0,0.0
"-3,500",1.9,50.7,98.5,0.4,0.0,0.0
"-2,000",1.7,50.8,98.7,0.4,0.0,0.0
"-6,500",23.4,57.9,81.4,3.4,1.1,0.3
"-5,000",23.4,57.9,81.4,3.4,1.1,0.3
"-3,500",31.3,60.1,71.5,1.8,0.8,0.1
"-2,000",32.7,60.1,69.0,1.2,0.3,0.2
"-6,500",38.1,63.9,69.9,3.5,3.2,1.3
"-5,000",38.1,63.9,69.9,3.5,3.2,1.3
"-3,500",53.1,65.5,50.8,1.5,2.2,0.2
"-2,000",52.4,65.5,50.5,1.5,0.7,0.7
