Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.1,5.9,44.4,38.5,11.2
"-5,000",0.0,0.1,5.9,44.4,38.5,11.2
"-3,500",0.0,0.1,14.5,51.6,32.6,1.3
"-2,000",0.0,0.6,33.0,64.3,2.1,0.6
"-6,500",0.0,0.2,4.0,22.9,45.5,27.6
"-5,000",0.0,0.2,4.0,22.9,45.5,27.6
"-3,500",0.5,0.8,10.6,36.7,47.2,5.0
"-2,000",1.8,2.3,25.1,43.1,12.7,17.3
"-6,500",0.4,0.4,2.3,16.5,48.4,32.4
"-5,000",0.4,0.4,2.3,16.5,48.4,32.4
"-3,500",2.1,1.6,7.7,28.9,51.9,9.4
"-2,000",5.2,5.5,19.4,30.9,14.4,30.1
