Neutral Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.3,15.4,101.1,1.3,0.0,0.0
"-5,000",0.3,15.4,101.1,1.3,0.0,0.0
"-3,500",0.3,15.9,100.8,1.1,0.0,0.0
"-2,000",0.2,16.9,100.2,0.4,0.0,0.0
"-6,500",8.5,26.0,97.7,4.1,1.5,0.6
"-5,000",8.5,26.0,97.7,4.1,1.5,0.6
"-3,500",12.8,28.6,91.6,3.3,1.0,0.1
"-2,000",18.4,25.8,83.9,2.2,0.0,0.1
"-6,500",17.6,32.8,93.6,5.1,4.0,2.1
"-5,000",17.6,32.8,93.6,5.1,4.0,2.1
"-3,500",26.4,34.5,81.2,4.0,3.2,0.3
"-2,000",35.0,31.1,70.0,3.4,1.3,0.3
