"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),0,<0.1,2.3,12.8,1.8,0,0,-,-
PTM Entrained (%),0,<0.1,2.3,12.8,1.8,0,0,-,-
PTM Entrained (%),0,0.0,0.7,8.1,0.4,0,0,-,-
PTM Entrained (%),0,<0.1,0.6,5.0,0.3,0,0,-,-
Smelt Larva Entrained (#),0,"83,098","7,012","521,535","67,145",0,0,"678,790",0.30%
Smelt Larva Entrained (#),0,"83,098","7,012","521,535","67,145",0,0,"678,790",0.30%
Smelt Larva Entrained (#),0,0,"2,134","330,857","15,871",0,0,"348,862",0.10%
Smelt Larva Entrained (#),0,"8,914","1,829","203,335","11,429",0,0,"225,508",<0.1%
