Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.1,5.5,52.7,30.2,11.6
"-5,000",0.0,0.1,5.5,52.7,30.2,11.6
"-3,500",0.0,0.1,14.7,62.5,21.3,1.4
"-2,000",0.0,0.7,35.1,64.7,0.1,0.1
"-6,500",0.0,0.4,3.3,25.4,39.4,31.9
"-5,000",0.0,0.4,3.3,25.4,39.4,31.9
"-3,500",0.5,0.5,9.6,39.1,45.8,5.1
"-2,000",0.6,2.6,26.1,44.9,11.6,16.8
"-6,500",0.2,0.4,2.0,17.4,41.4,39.0
"-5,000",0.2,0.4,2.0,17.4,41.4,39.0
"-3,500",0.7,1.4,8.2,29.2,52.3,9.6
"-2,000",2.6,5.6,21.1,30.9,14.6,30.8
