"source","date","catch","mark_code","fork_length","latitude","longitude","region","stratum","life_stage"
"EDSM",2025-10-06,1,"None",54,38.06055,-121.8049,"West","Lower Sacramento","Juvenile"
"EDSM",2025-10-09,1,"None",54,38.13675,-122.06116,"West","Suisun Marsh","Juvenile"
"EDSM",2025-10-17,1,"None",59,38.1697,-122.0228,"West","Suisun Marsh","Adult"
"EDSM",2025-11-06,1,"None",53,38.10349,-122.06154,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,1,"None",55,38.1621,-122.0603,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,1,"None",62,38.1621,-122.0603,"West","Suisun Marsh","Adult"
"EDSM",2025-11-06,1,"None",66,38.1621,-122.0603,"West","Suisun Marsh","Adult"
"EDSM",2025-11-06,1,"None",45,38.1606,-122.05918,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,3,"None",50,38.1606,-122.05918,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,1,"None",51,38.1606,-122.05918,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,1,"None",53,38.1606,-122.05918,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,1,"None",54,38.1606,-122.05918,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,1,"None",56,38.1606,-122.05918,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-06,1,"None",59,38.1606,-122.05918,"West","Suisun Marsh","Adult"
"EDSM",2025-11-06,1,"None",64,38.1606,-122.05918,"West","Suisun Marsh","Adult"
"EDSM",2025-11-06,2,"None",66,38.1606,-122.05918,"West","Suisun Marsh","Adult"
"EDSM",2025-11-06,1,"None",67,38.1606,-122.05918,"West","Suisun Marsh","Adult"
"EDSM",2025-11-06,2,"None",71,38.1606,-122.05918,"West","Suisun Marsh","Adult"
"EDSM",2025-11-10,1,"None",59,38.1762,-122.01125,"West","Suisun Marsh","Adult"
"EDSM",2025-11-10,1,"None",61,38.1762,-122.01125,"West","Suisun Marsh","Adult"
"EDSM",2025-11-10,1,"None",60,38.1762,-122.01125,"West","Suisun Marsh","Adult"
"EDSM",2025-11-10,1,"None",64,38.1762,-122.01125,"West","Suisun Marsh","Adult"
"EDSM",2025-11-10,1,"None",56,38.10769,-121.89004,"West","Suisun Marsh","Juvenile"
"EDSM",2025-11-17,1,"None",66,38.1072,-122.05419,"West","Suisun Marsh","Adult"
"EDSM",2025-11-20,1,"None",60,38.1723,-121.96194,"West","Suisun Marsh","Adult"
"EDSM",2025-11-20,1,"None",62,38.17429,-121.96192,"West","Suisun Marsh","Adult"
"EDSM",2025-11-20,1,"None",74,38.17429,-121.96192,"West","Suisun Marsh","Adult"
"EDSM",2025-12-01,1,"None",66,38.17008,-122.02123,"West","Suisun Marsh","Adult"
"EDSM",2025-12-04,1,"None",73,38.4163,-121.61008,"North","Sac Deep Water","Adult"
"EDSM",2025-12-09,1,"None",74,38.1852,-121.96748,"West","Suisun Marsh","Adult"
"EDSM",2025-12-09,1,"None",69,38.18509,-121.96746,"West","Suisun Marsh","Adult"
"EDSM",2025-12-09,1,"None",61,38.17535,-121.94952,"West","Suisun Marsh","Adult"
"EDSM",2025-12-11,1,"None",55,38.16285,-122.0449,"West","Suisun Marsh","Juvenile"
"EDSM",2025-12-11,1,"None",56,38.16285,-122.0449,"West","Suisun Marsh","Juvenile"
"EDSM",2025-12-11,1,"None",57,38.16285,-122.0449,"West","Suisun Marsh","Juvenile"
"EDSM",2025-12-11,1,"None",70,38.16285,-122.0449,"West","Suisun Marsh","Adult"
"EDSM",2025-12-11,1,"None",59,38.17895,-122.04688,"West","Suisun Marsh","Adult"
"EDSM",2025-12-16,1,"None",57,38.14915,-121.91478,"West","Suisun Marsh","Juvenile"
"EDSM",2025-12-16,1,"None",47,38.16008,-122.05856,"West","Suisun Marsh","Juvenile"
"DJFMP",2025-12-18,1,NA,53,38.13977,-121.69468,"North","Lower Sacramento","Juvenile"
"EDSM",2025-12-21,1,"None",54,38.17111,-121.96088,"West","Suisun Marsh","Juvenile"
"EDSM",2025-12-21,1,"None",55,38.16861,-122.06841,"West","Suisun Marsh","Juvenile"
"EDSM",2025-12-29,1,"None",78,38.1129,-122.05665,"West","Suisun Marsh","Adult"
"EDSM",2025-12-29,1,"None",59,38.17131,-122.06768,"West","Suisun Marsh","Adult"
"EDSM",2026-01-02,1,"None",61,38.18141,-122.05093,"West","Suisun Marsh","Adult"
"EDSM",2026-01-02,1,"None",48,38.18573,-121.96998,"West","Suisun Marsh","Juvenile"
"EDSM",2026-01-02,1,"None",63,38.18548,-121.9684,"West","Suisun Marsh","Adult"
"EDSM",2026-01-07,1,"None",68,38.1052,-122.06121,"West","Suisun Marsh","Adult"
"EDSM",2026-01-07,1,"None",53,38.139,-122.06112,"West","Suisun Marsh","Juvenile"
"EDSM",2026-01-08,1,"None",62,38.1866,-121.97491,"West","Suisun Marsh","Adult"
"EDSM",2026-01-08,1,"None",71,38.18688,-121.97877,"West","Suisun Marsh","Adult"
"EDSM",2026-01-08,1,"None",54,38.18634,-121.98143,"West","Suisun Marsh","Juvenile"
"EDSM",2026-01-08,1,"None",75,38.18634,-121.98143,"West","Suisun Marsh","Adult"
"EDSM",2026-01-22,1,"None",74,38.41182,-121.61163,"North","Sac Deep Water","Adult"
"DJFMP",2026-01-22,1,NA,74,38.048,-121.91,"N/A",NA,"Adult"
"EDSM",2026-01-27,1,"None",53,38.17446,-122.01452,"West","Suisun Marsh","Juvenile"
