Date,JPF_cfs
2025-10-01,NA
2025-10-02,NA
2025-10-03,NA
2025-10-04,NA
2025-10-05,NA
2025-10-06,NA
2025-10-07,NA
2025-10-08,NA
2025-10-09,NA
2025-10-10,NA
2025-10-11,NA
2025-10-12,NA
2025-10-13,NA
2025-10-14,NA
2025-10-15,NA
2025-10-16,NA
2025-10-17,NA
2025-10-18,NA
2025-10-19,NA
2025-10-20,NA
2025-10-21,NA
2025-10-22,NA
2025-10-23,NA
2025-10-24,NA
2025-10-25,NA
2025-10-26,NA
2025-10-27,NA
2025-10-28,NA
2025-10-29,NA
2025-10-30,NA
2025-10-31,NA
2025-11-01,NA
2025-11-02,NA
2025-11-03,NA
2025-11-04,NA
2025-11-05,NA
2025-11-06,NA
2025-11-07,NA
2025-11-08,NA
2025-11-09,NA
2025-11-10,NA
2025-11-11,NA
2025-11-12,NA
2025-11-13,NA
2025-11-14,NA
2025-11-15,NA
2025-11-16,NA
2025-11-17,NA
2025-11-18,NA
2025-11-19,NA
2025-11-20,NA
2025-11-21,NA
2025-11-22,NA
2025-11-23,NA
2025-11-24,NA
2025-11-25,NA
2025-11-26,NA
2025-11-27,NA
2025-11-28,NA
2025-11-29,NA
2025-11-30,NA
2025-12-01,NA
2025-12-02,NA
2025-12-03,NA
2025-12-04,NA
2025-12-05,NA
2025-12-06,NA
2025-12-07,NA
2025-12-08,NA
2025-12-09,NA
2025-12-10,NA
2025-12-11,NA
2025-12-12,NA
2025-12-13,NA
2025-12-14,-719
2025-12-15,-656
2025-12-16,-292
2025-12-17,-288
2025-12-18,-672
2025-12-19,-1492
2025-12-20,-4716
2025-12-21,-4071
2025-12-22,-1293
2025-12-23,-182
2025-12-24,6418
2025-12-25,12621
2025-12-26,17910
2025-12-27,17445
2025-12-28,16344
2025-12-29,16740
2025-12-30,12499
2025-12-31,6924
2026-01-01,7879
2026-01-02,9965
2026-01-03,11570
2026-01-04,12782
2026-01-05,22449
2026-01-06,22868
2026-01-07,19766
2026-01-08,18657
2026-01-09,16693
2026-01-10,11626
2026-01-11,9516
2026-01-12,9041
2026-01-13,9547
2026-01-14,8823
2026-01-15,8082
2026-01-16,7434
2026-01-17,6726
2026-01-18,5906
2026-01-19,5432
2026-01-20,4179
2026-01-21,3616
2026-01-22,3271
2026-01-23,2899
2026-01-24,2603
2026-01-25,2148
2026-01-26,1690
2026-01-27,1154
