Date,SJR_a_Vernalis,E_side_streams,SR_at_Freeport_SRWTP,Stockton_rain_in,Delta_GCD_cfs,JPF_cfs,Banks_PP_cfs,CCF_cfs,Tracy_cfs
2025-10-01,721,385,19165,0,2150,NA,6938,6673,4314
2025-10-02,745,504,18611,0.76,2100,NA,6719,6673,4296
2025-10-03,862,487,19032,0,2050,NA,6719,6672,4247
2025-10-04,1027,503,19251,0,2050,NA,6719,6680,4226
2025-10-05,1196,475,19324,0,2000,NA,6705,6672,4155
2025-10-06,1312,475,19068,0,2000,NA,3369,2993,2681
2025-10-07,1314,765,18464,0,1950,NA,2607,2998,2581
2025-10-08,1232,455,17585,0,1950,NA,2946,2995,2664
2025-10-09,1143,365,17989,0,1950,NA,2955,2997,2775
2025-10-10,1135,325,17251,0,1900,NA,2964,2996,2724
2025-10-11,1186,316,16011,0,1900,NA,2960,2994,2288
2025-10-12,1273,322,14572,0,1900,NA,3158,2996,1835
2025-10-13,1349,410,13041,1.36,1900,NA,2767,2995,1826
2025-10-14,1526,730,13838,0.16,1850,NA,2946,2993,1823
2025-10-15,1686,416,13054,0.04,1850,NA,2132,1991,1662
2025-10-16,1653,370,12569,0.04,1850,NA,2021,1992,870
2025-10-17,1849,373,12407,0,1850,NA,2678,2996,1078
2025-10-18,2288,364,12390,0,1800,NA,4080,3992,1396
2025-10-19,2466,357,12239,0,1800,NA,4089,3990,968
2025-10-20,2467,358,12409,0,1800,NA,4084,3997,1607
2025-10-21,2280,350,12214,0,1800,NA,3976,3991,2227
2025-10-22,2006,387,11638,0,1800,NA,3877,3991,1750
2025-10-23,1973,692,12075,0,1750,NA,3703,3992,1750
2025-10-24,2231,432,11818,0,1750,NA,3863,3998,945
2025-10-25,2458,372,11372,0,1750,NA,3797,3990,967
2025-10-26,2255,369,11387,0,1750,NA,1351,490,2263
2025-10-27,1988,358,12173,0,1750,NA,0,0,3542
2025-10-28,1705,348,12112,0,1750,NA,0,0,3513
2025-10-29,1450,358,12367,0,1700,NA,0,0,3165
2025-10-30,1310,358,11470,0,1700,NA,0,990,2949
2025-10-31,1566,384,11062,0,1700,NA,396,1997,3648
2025-11-01,2001,390,10761,0,1700,NA,2710,999,4196
2025-11-02,2017,384,10939,0,1700,NA,1119,953,4181
2025-11-03,1838,386,11029,0,1700,NA,1216,997,4181
