Date,Scenario,SUT_RATIO,STM_RATIO,SACR_SS_RATIO,SACR_GEO_RATIO,GEO_RATIO,DCC_RATIO,SUT_SUV,STM_SUV,SAC_SUV,GEO_SUV,DCC_SUV,Combined_suv,Model_Run
6-May-26,historical,0.10,0.08,0.82,0.69,0.25,0.07,0.40,0.50,0.44,0.24,0.06,0.38,D
6-May-26,historical,0.10,0.08,0.82,0.69,0.25,0.07,40%,50%,44%,24%,0.06,38%,A
6-May-26,historical,0.10,0.08,0.83,0.69,0.25,0.06,37%,52%,45%,24%,0.04,38%,B
6-May-26,historical,0.10,0.08,0.83,0.69,0.24,0.07,38%,50%,43%,28%,0.03,38%,C
