Surface Oriented Particles for 469 (Jersey Point),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",9.2,13.2,92.5,1.7,0.0,0.0
"-5,000",9.2,13.2,92.5,1.7,0.0,0.0
"-3,500",11.3,13.2,89.6,0.9,0.0,0.0
"-2,000",13.7,11.9,86.6,0.3,0.0,0.0
"-6,500",30.3,21.1,74.2,3.0,1.3,0.2
"-5,000",30.3,21.1,74.2,3.0,1.3,0.2
"-3,500",36.9,19.4,65.9,1.7,0.9,0.2
"-2,000",46.5,17.6,54.6,0.9,0.1,0.1
"-6,500",57.1,24.8,51.1,4.0,3.0,1.2
"-5,000",57.1,24.8,51.1,4.0,3.0,1.2
"-3,500",64.5,22.3,39.2,1.5,1.6,0.6
"-2,000",74.2,20.2,27.9,1.4,0.4,0.3
