"                               Region
       Metric","West 

(359)","Suisun

(329, 420)","Sacramento/
North Delta 

(314, 323, 350)","Lower San Joaquin

(34, 41, 46, 469)","Lower Sacramento

(465, 353)","South Delta

(29, 86, 99, 225)","East

(249, 261)",Delta-wide Total (#),Delta-wide Total (%)
LFS Larva Abundance Estimate,"117,633,687","145,677,478","304,865","4,078,739","3,695,676",0,0,"271,390,445",-
PTM Entrained (%),0.0,0.0,0.3,4.2,0.1,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.3,4.2,0.1,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.3,2.4,<0.1,0.0,0.0,-,-
PTM Entrained (%),0.0,0.0,0.0,0.3,0.0,0.0,0.0,-,-
Smelt Larva Entrained (#),0,0,915,"171,137","4,907",0,0,"176,959",<0.1%
Smelt Larva Entrained (#),0,0,915,"171,137","4,907",0,0,"176,959",<0.1%
Smelt Larva Entrained (#),0,0,915,"96,262","1,211",0,0,"98,388",<0.1%
Smelt Larva Entrained (#),0,0,0,"13,424",0,0,0,"13,424",<0.1%
