Surface Oriented Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",86.0,0.0,14.0,0.0,0.0,0.0
"-5,000",86.0,0.0,14.0,0.0,0.0,0.0
"-3,500",87.5,0.0,12.5,0.0,0.0,0.0
"-2,000",91.5,0.0,8.5,0.0,0.0,0.0
"-6,500",90.3,0.0,9.7,0.0,0.0,0.0
"-5,000",90.3,0.0,9.7,0.0,0.0,0.0
"-3,500",90.7,0.0,9.3,0.0,0.0,0.0
"-2,000",94.0,0.1,6.0,0.0,0.0,0.0
"-6,500",94.9,0.1,5.2,0.0,0.0,0.1
"-5,000",94.9,0.1,5.2,0.0,0.0,0.1
"-3,500",94.6,-0.1,5.5,0.1,0.0,0.0
"-2,000",98.1,0.1,1.9,0.0,0.0,0.0
