Surface Oriented Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.5,20.3,44.6,30.4,4.8
"-5,000",0.0,0.5,20.3,44.6,30.4,4.8
"-3,500",0.1,0.8,25.5,55.5,14.5,4.4
"-2,000",0.1,0.9,43.7,55.8,0.3,0.1
"-6,500",0.4,2.3,16.2,26.4,40.4,16.6
"-5,000",0.4,2.3,16.2,26.4,40.4,16.6
"-3,500",0.9,2.9,20.1,32.2,25.2,21.6
"-2,000",1.9,4.5,35.5,41.3,13.2,8.0
"-6,500",3.1,3.3,11.1,17.4,44.3,24.0
"-5,000",3.1,3.3,11.1,17.4,44.3,24.0
"-3,500",5.7,4.6,13.2,20.6,28.9,31.6
"-2,000",12.3,7.5,21.9,33.2,15.7,17.0
