Neutral Particles for 99 (Old River),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",0.0,0.1,18.4,52.9,24.4,4.2
"-5,000",0.0,0.1,18.4,52.9,24.4,4.2
"-3,500",0.0,0.2,22.7,62.7,11.8,2.8
"-2,000",0.0,0.6,40.9,59.0,0.0,0.1
"-6,500",0.2,1.8,14.3,30.2,38.3,17.0
"-5,000",0.2,1.8,14.3,30.2,38.3,17.0
"-3,500",0.5,2.4,17.2,34.9,28.6,18.9
"-2,000",0.8,3.7,31.1,49.7,13.0,5.5
"-6,500",1.7,3.0,11.4,19.4,42.2,25.3
"-5,000",1.7,3.0,11.4,19.4,42.2,25.3
"-3,500",2.6,3.8,12.6,23.7,32.1,29.0
"-2,000",4.9,6.5,23.5,38.9,17.3,15.4
