Neutral Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",1.2,64.0,99.0,0.2,0.0,0.0
"-5,000",1.2,64.0,99.0,0.2,0.0,0.0
"-3,500",1.6,64.4,98.6,0.2,0.0,0.0
"-2,000",2.1,67.0,97.9,0.0,0.0,0.0
"-6,500",22.4,74.1,78.9,0.8,0.4,0.1
"-5,000",22.4,74.1,78.9,0.8,0.4,0.1
"-3,500",24.9,73.3,76.2,0.8,0.1,0.2
"-2,000",31.9,74.1,68.3,0.2,0.0,0.0
"-6,500",47.9,79.5,55.6,2.2,1.1,0.2
"-5,000",47.9,79.5,55.6,2.2,1.1,0.2
"-3,500",49.0,78.5,53.0,0.8,0.6,0.6
"-2,000",58.9,78.8,41.9,0.6,0.2,0.1
