Neutral Particles for 465 (Chipps),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",73.0,0.0,27.0,0.0,0.0,0.0
"-5,000",73.0,0.0,27.0,0.0,0.0,0.0
"-3,500",74.8,0.0,25.3,0.0,0.0,0.0
"-2,000",79.5,0.0,20.5,0.0,0.0,0.0
"-6,500",77.1,-0.1,22.9,0.0,0.0,0.0
"-5,000",77.1,-0.1,22.9,0.0,0.0,0.0
"-3,500",79.5,0.3,20.5,0.0,0.0,0.0
"-2,000",85.0,0.0,15.0,0.0,0.0,0.0
"-6,500",86.4,0.1,13.6,0.0,0.0,0.0
"-5,000",86.4,0.1,13.6,0.0,0.0,0.0
"-3,500",88.3,1.0,11.8,0.1,0.0,0.0
"-2,000",90.9,0.1,9.1,0.0,0.0,0.0
