Surface Oriented Particles for 350 (Cache Slough),,,,,,
OMR Flow Bin,Past Chipps,Upstream of Decker,Unresolved in Central Delta,Unresolved in OMR corridor,CVP Entrainment,SWP Entrainment
,,,,,,
"-6,500",10.1,64.3,90.2,0.3,0.0,0.0
"-5,000",10.1,64.3,90.2,0.3,0.0,0.0
"-3,500",12.1,64.8,87.9,0.0,0.0,0.0
"-2,000",12.7,66.3,87.3,0.0,0.0,0.0
"-6,500",37.5,73.5,64.1,0.8,0.6,0.2
"-5,000",37.5,73.5,64.1,0.8,0.6,0.2
"-3,500",42.6,72.4,58.0,0.4,0.1,0.1
"-2,000",49.9,73.7,50.2,0.1,0.0,0.0
"-6,500",64.2,78.1,38.9,0.9,1.8,0.5
"-5,000",64.2,78.1,38.9,0.9,1.8,0.5
"-3,500",67.0,77.3,35.3,1.5,0.6,0.2
"-2,000",75.2,77.9,25.4,0.5,0.0,0.1
